,N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
0,Model1,500.0,1.0,1.0,0.8250636904039791,0.7947594501890678,0.776168075996318,0.7697841726618705,0.7610034729589649,0.7474628480430291
1,Model2,500.0,2.0,1.0,0.8282178818391362,0.7955933659889063,0.7953135772864544,0.7369207772795217,0.7197753994701377,0.701885344652349
2,Model3,500.0,3.0,1.0,0.8333131141574669,0.7894467890651938,0.7919342792460725,0.717948717948718,0.6863095184838144,0.6579866533699749
3,Model4,500.0,1.0,2.0,0.8586679606939221,0.8455474329969406,0.8302783533759196,0.8522727272727273,0.8466931409242776,0.8394858406047594
4,Model5,500.0,2.0,2.0,0.8887540943831129,0.8791807088556698,0.8751021741246171,0.8680765357502518,0.8682943821070629,0.866439551769694
5,Model6,500.0,3.0,2.0,0.8914230255974767,0.8832850591302014,0.8779884290269694,0.8704081632653061,0.8723522514692077,0.868265125351868
6,Model7,800.0,1.0,2.0,0.8637631930122528,0.8543353132008911,0.8466980894924769,0.8073684210526316,0.8129132597840967,0.7928968639418101
7,Model8,800.0,2.0,2.0,0.8974887783573942,0.8877551675669044,0.8879593832134742,0.8831168831168831,0.8806022209218736,0.8768138098543165
8,Model9,800.0,3.0,2.0,0.8883901492175179,0.8979414029913035,0.8904508900888641,0.8205904617713853,0.837161269228904,0.8240022812547102
