,N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
0,model_1,500.0,1.0,1.0,0.8425330583525416,0.8274685401369056,0.8109159065087941,0.6761786600496278,0.680106317611142,0.6255408589778773
1,model_2,500.0,2.0,1.0,0.8557563993691617,0.8355163038611172,0.8418854712240779,0.6570175438596492,0.6168971166539984,0.6286263802354051
2,model_3,500.0,3.0,1.0,0.838529661530996,0.8604828721761828,0.8429456269096496,0.5602134146341463,0.6168431502779027,0.555912129661689
3,model_4,500.0,1.0,2.0,0.898823243964576,0.8903723734056677,0.8901592283070957,0.7430503380916604,0.7452633775720854,0.7280832185948783
4,model_5,500.0,2.0,2.0,0.90367584617251,0.9160207123094056,0.9075617038397876,0.7762237762237763,0.7818384726851774,0.771382002785711
5,model_6,500.0,3.0,2.0,0.8723765619313357,0.9307021135590974,0.8905081700123477,0.7001850709438618,0.7773474434203813,0.7062773435713103
6,model_7,800.0,1.0,2.0,0.896760888026204,0.9180227846309538,0.9039088162627857,0.7659033078880407,0.7847533295008279,0.7643025730116817
7,model_8,800.0,2.0,2.0,0.8788062598568482,0.931472799689581,0.8964785784764753,0.7650306748466258,0.8091198765568391,0.7709136341096684
8,model_9,800.0,3.0,2.0,0.8994298192405678,0.9273836682087335,0.9075434975939589,0.7512755102040817,0.802140815632399,0.7554693404596781
